pk_pathogen_id,fk_higher_taxa_id,fk_pathogen_id_accepted,fk_anamorph_id,virus_MPLO_names,pathogen_genus,pathogen_species,pathogen_subspecific_taxa,pathogen_author,fungal_state,english_name,english_disease_names,french_ name,french_disease_names,pathogen_notes,verify,qd,change_to,full_pathogen,dup_id
1,335,,,,Acanthonitschkea,coloradensis,,Cash & Davidson,Teleomorph,,,,,,TRUE,,,AcanthonitschkeacoloradensisCash & Davidson,
2,1,80365,,,Aleurodiscus,abietis,,,unknown,,,,,,TRUE,,,Aleurodiscusabietis,
5,1,,,,Aleurodiscus,amorphus,,(Pers.: Fr.) Schröter,unknown,,,,,,TRUE,,,Aleurodiscusamorphus(Pers.: Fr.) Schröter,
15,1,93389,,,Aleurodiscus,canadensis,,,unknown,,,,,,TRUE,,,Aleurodiscuscanadensis,
16,1,93391,,,Aleurodiscus,farlowii,,,unknown,,,,,,TRUE,,,Aleurodiscusfarlowii,
17,1,,,,Aleurodiscus,laurentianus,,,unknown,,,,,,TRUE,,,Aleurodiscuslaurentianus,
18,1,93478,,,Aleurodiscus,minnsiae,,,unknown,,,,,,TRUE,,,Aleurodiscusminnsiae,
20,1,,,,Aleurodiscus,penicillatus,,,unknown,,,,,,TRUE,,,Aleurodiscuspenicillatus,
21,1,93396,,,Aleurodiscus,weirii,,,unknown,,,,,,TRUE,,,Aleurodiscusweirii,
22,1,93320,,,Amphisphaeria,incrustans,,,unknown,,,,,,TRUE,,,Amphisphaeriaincrustans,
24,1,,,,Amphisphaeria,juniperi,,Tracy & Earle,unknown,,,,,,TRUE,,,AmphisphaeriajuniperiTracy & Earle,
25,150,,,,Arceuthobium,campylopodum,,Engelmann,unknown,,,,,,TRUE,,,ArceuthobiumcampylopodumEngelmann,
30,150,,,,Arceuthobium,douglasii,,Engelmann,unknown,,,,,,TRUE,,,ArceuthobiumdouglasiiEngelmann,
31,253,,,,Armillaria,mellea,,(Vahl: Fr.) P. Kummer,unknown,,,,,,TRUE,,,Armillariamellea(Vahl: Fr.) P. Kummer,
42,1,,1,,Ascocalyx,abietis,,Naumov,Teleomorph,,,,,,TRUE,,,AscocalyxabietisNaumov,
46,1,,,,Aspergillus,ochraceus,,Wilhelm,unknown,,,,,,TRUE,,,AspergillusochraceusWilhelm,
47,1,,,,Asterodon,ferruginosus,,Pat.,unknown,,,,,,TRUE,,,AsterodonferruginosusPat.,
48,304,,,,Aureobasidium,pullulans,,(de Bary) Arnaud,unknown,,,,,,TRUE,,,Aureobasidiumpullulans(de Bary) Arnaud,
49,1,,,,Auricularia,auricula,,,unknown,,,,,,TRUE,,,Auriculariaauricula,
