Pathogen,Host,family,pk_reference_id,fk_host_id,fk_pathogen_id,pk_host_pathogen_id,host_genus,host_species,host_subspecific_taxa,pathogen_genus,pathogen_species,pathogen_subspecific_taxa,virus_MPLO_names,rust_state,notes,plant_part,symptom
* Oomycete,Abies,Pinaceae,8656,16,97784,114159,Abies,,,* Oomycete,,,,,*Pathogen Oomycete causing root rot,,
* Oomycete,Abies grandis,Pinaceae,8656,6,97784,114157,Abies,grandis,,* Oomycete,,,,,*Pathogen Oomycete causing root rot,,
* Oomycete,Abies grandis,Pinaceae,8735,6,97784,119047,Abies,grandis,,* Oomycete,,,,,,,Root rot
* Oomycete,Acer,Aceraceae,8735,43,97784,119234,Acer,,,* Oomycete,,,,,,,Root rot
* Oomycete,Acer japonicum,Aceraceae,8656,10587,97784,114330,Acer,japonicum,,* Oomycete,,,,,,"root, leaf","root rot, leaf spot"
* Oomycete,Acer palmatum,Aceraceae,8723,30,97784,116701,Acer,palmatum,,* Oomycete,,,,,,Root,Root rot
* Oomycete,Amelanchier,Rosaceae,8740,290,97784,120486,Amelanchier,,,* Oomycete,,,,,,,Root rot
* Oomycete,Apium graveolens var. rapaceum,Apiaceae,8735,378,97784,119199,Apium,graveolens,var. rapaceum,* Oomycete,,,,,,,Root rot
* Oomycete,Asimina triloba,,8723,10908,97784,116707,Asimina,triloba,,* Oomycete,,,,,,Root,Root rot
* Oomycete,Avena sativa,Poaceae,8656,713,97784,114171,Avena,sativa,,* Oomycete,,,,,*Pathogen: Oomycete causing root rot,,
* Oomycete,Bellis,Asteraceae,8735,6073,97784,119056,Bellis,,,* Oomycete,,,,,,,Crown rot
* Oomycete,Buxus,Buxaceae,8723,927,97784,116711,Buxus,,,* Oomycete,,,,,,Root,Root rot
* Oomycete,Calluna,Ericaceae,8723,10564,97784,116715,Calluna,,,* Oomycete,,,,,,Root,Root rot
* Oomycete,Caragana,Fabaceae,8735,1021,97784,119242,Caragana,,,* Oomycete,,,,,,,Root rot
