pk_reference_id,fk_ref_source_id,reference_authors,reference_year,chapter_article_title,volume,pages,data_source,verify
1,50,"Aamodt, O.S., Platt, A.W.",1936,,14,425-437,Conners,TRUE
2,49,"Aamodt, O.S., Malloch, J.G.",1932,,7,573-582,Conners,TRUE
3,49,"Aamodt, O.S., Johnston, W.H.",1935,,12,590-613,Conners,TRUE
4,48,"Abramson, D., Clear, R.M., Nowicki, T.W.",1987,Fusarium species and trichothecene mycotoxins in suspect samples of 1985 Manitoba wheat,67,611-619,Martin,TRUE
5,285,"Abramson, D., Sinha, R.N., Mills, J.T.",1982,Mycotoxin formation in moist wheat under controlled temperatures,79,87-92,Martin,TRUE
6,46,"Acharya, S.N., Verma, P.R., Dueck, J., Downey, R.K.",1984,Screening rapeseed/canola for resistance to damping-off and seedling root rot caused by Rhizoctonia solani,6(4),325-328,Martin,TRUE
7,45,"Adachi, T., Hooper, I., Iyer, V.N.",1983,Moderately large plasmids of Rhizobium meliloti,29,1601-1606,Martin,TRUE
8,38,"Adams, J.",1935,,49,107-108,Conners,TRUE
9,41,"Addison, P.A., Puckett, K.J.",1980,Deposition of atmospheric pollutants as measured by lichen element content in the Athabasca oil sands area,58,2323-2334,Martin,TRUE
10,41,"Agnihotri, V.P., Vaartaja, O.",1967,,45,1031-1040,Ginns,TRUE
11,45,"Agnihotri, V.P., Vaartaja, O.",1969,Stimulation of Waitea circinata by root exudates of Pinus cembroides,15,1319-1323,Martin,TRUE
12,362,"Ahti, T.",1969,Notes on Brown Species of Parmelia in North America,72,233-239,Martin,TRUE
13,362,"Ahti, T., Jorgensen, P.M.",1971,"Notes on the Lichens of Newfoundland. I. Erioderma boreale, New to North America",74,378-381,Martin,TRUE
14,362,"Ahti, T., Scotter, G.W., Vánska, H.",1973,"Lichens of the Reindeer Preserve, Northwest Territories, Canada",76,48-76,Martin,TRUE
15,294,"Alexander, A.",1984,Potato production in the eastern coastal zone of New Brunswick: the significance of virus diseases,111,435-438,Martin,TRUE
16,43,"Alfaro, R.I., Bloomberg, W.J., Smith, R.B., Thomson, A.J.",1985,Epidemiology of dwarf mistletoe in western hemlock stands in south coastal British Columbia,15,909-913,Martin,TRUE
17,313,"Alkhoury, I., Estey, R.H.",1979,,60,171,Ginns,TRUE
18,46,"Allan, W.G., Watson, A.K., Wymore, L.A.",1987,Evaluation of a Chenopodium album pathogen for potential use as a mycoherbicide,9,272,Martin,TRUE
19,312,"Allen, E., Hiratsuka, Y.",1985,Infection of young lodgepole pine seedlings with Endocronartium harknessii,75,1279,Martin,TRUE
20,48,"Allen, W.R.",1969,Occurrence and seed transmission of Tomato Bushy Stunt Virus in apple,49,797-799,Martin,TRUE
21,48,"Allen, W.R.",1974,,54,431-432,Ginns,TRUE
22,46,"Allen, W.R.",1981,Dissemination of tobacco mosaic virus from soil to plant leaves under glasshouse conditions,3,163-168,Martin,TRUE
23,46,"Allen, W.R.",1986,Effectiveness of Ontario populations of Longidorus diadecturus and L. breviannulatus as vectors of peach rosette mosaic virus and tomato blackring viruses,8,49-53,Martin,TRUE
24,46,"Allen, W.R., Broadbent, A.B.",1986,Transmission of tomato spotted wilt virus in Ontario greenhouses by Frankliniella occidentalis,8,33-38,Martin,TRUE
25,46,"Allen, W.R., Matteoni, J.A.",1988,Cyclamen ringspot: Epidemics in Ontario greenhouses caused by the tomato spotted wilt virus,10,41-46,Martin,TRUE
26,317,"Allen, W.R., Matteoni, J.A.",1991,Petunia as an Indicator Plant for Use by Growers to Monitor for Thrips Carrying the Tomato Spotted Wilt Virus in Greenhouses,75,78-82,Martin,TRUE
27,46,"Allen, W.R., Van Schagen, J.G.",1982,Tomato ringspot virus in European hybrid grapevines in Ontario: a re-evaluation of the incidence and geographic distribution,4,272-274,Martin,TRUE
28,323,"Allen, W.R., Davidson, T.R.",1966,The association of Tomato Bushy Stunt Virus with a fruit pitting disease of sweet cherry,33,12,Martin,TRUE
29,41,"Allen, W.R., Davidson, T.R.",1967,Tomato Bushy Stunt Virus from Prunus avium L. I. Field studies and virus characterization,45,2375-2383,Martin,TRUE
30,315,"Allen, W.R., Davidson, T.R.",1978,Dosage response and duration of symptom remission in X-Diseased peach trees treated with oxytetracycline-HCl in Ontario,62,311-313,Martin,TRUE
31,48,"Allen, W.R., Dirks, V.A.",1978,Bacterial canker of sweet cherry in the Niagara Peninsula of Ontario: Pseudomonas species involved and cultivar susceptibilities,58,363-369,Martin,TRUE
32,46,"Allen, W.R., Van Schagen, J.G., Ebsary, B.A.",1984,Comparative transmission of the peach rosette mosaic virus by Ontario populations of Longidorus diadecturus and Xiphinema americanum (Nematoda: Longidoridae),6(1),29-32,Martin,TRUE
33,46,"Allen, W.R., Ebsary, B.A.",1988,"Transmission of raspberry ringspot, tomato black ring, and peach rosette mosaic viruses by an Ontario population of Longidorus elongatus",10,1-5,Martin,TRUE
34,46,"Allen, W.R., Matteoni, J.A., Broadbent, A.B.",1990,Susceptibility of cultivars of florist's chrysanthemum to tomato spotted wilt virus,12,417-423,Martin,TRUE
35,46,"Allen, W.R., Matteoni, J.A., Broadbent, A.B., Stobbs, L.W.",1989,Status of the tomato spotted wilt virus epidemic in greenhouse crops,11,184,Martin,TRUE
36,46,"Allen, W.R., Van Schagen, J.G., Eveleigh, E.S.",1982,"Transmission of peach rosette mosaic virus to peach, grape, and cucumber by Longidorus diadecturus obtained from diseased orchards in Ontario",4,16-18,Martin,TRUE
37,317,"Allen, W.R., Stobbs, L.W., Van Schagen, J.G.",1988,"Association of Xiphinema species with Soil Type and Grapevines Infected with Tomato Ringspot Virus in Ontario, Canada",72,861-863,Martin,TRUE
38,312,"Allen, W.R., Davidson, T.R., Briscoe, M.R.",1970,Properties of a Strain of Strawberry Latent Ringspot Virus Isolated from Sweet Cherry Growing in Ontario,60,1262-1265,Martin,TRUE
39,281,"Ammirati, J., Traquair, J., Martin, S., Gillon, W., Ginns, J.",1979,,71,310-321,Ginns,TRUE
40,249,"An, C.S., Riggsby, W.S., Mullin, B.C.",1985,Relationship of Frankia isolates Based on Desoxyribonucleic Acid Homology Studies,35,140-146,Martin,TRUE
41,46,"Anas, O., Reeleder, R.D.",1986,Effect of Bradysia predation on mycoparasitism of the sclerotia of Sclerotinia sclerotiorum,8,347,Martin,TRUE
42,41,"Anastasiou, C.J., Churchland, L.M.",1969,,47,251-257,Ginns,TRUE
43,49,"Anderson, J.A.",1934,,11,667-686,Conners,TRUE
44,50,"Anderson, J.A.",1936,,14,1-10,Conners,TRUE
45,251,"Anderson, J.P.",1952,,26,507-526,Conners,TRUE
46,281,"Anderson, J.B.",1986,Biological species of Armillaria in North America: Redesignation of Groups IV and VIII and enumeration of voucher strains for other groups,78,837-839,Martin,TRUE
47,281,"Anderson, J.B., Ullrich, R.C.",1979,,71,402-414,Ginns,TRUE
48,251,"Anderson, J.P.",1952,,26,507-526,Ginns,TRUE
49,312,"Anderson, M.G.",1983,Effect of winter wheat powdery mildew on yield,73,795,Martin,TRUE
50,48,"Anderson, M.G., Poapst, P.A.",1983,"Effect of cultivar, modified atmosphere and rapeseed oil on ripening and decay of mature-green tomatoes",63,509-514,Martin,TRUE
51,52,"Anderson, R.V.",1968,"Variation in taxonomic characters of a species of Acrobeloides (Cobb, 1924) Steiner and Buhrer, 1933",46,309-320,Martin,TRUE
52,52,"Anderson, R.V.",1973,Morphology and description of Helicotylenchus crassatus n. sp. (Nematoda: Hoplolaimidae) from eastern Canada,51,1195-1200,Martin,TRUE
53,52,"Anderson, R.V.",1974,"Canadian species of the genus Helicotylenchus Steiner, 1945 (Nematoda: Hoplolaimidae), their identifying characteristics and descriptions of three new species",52,1365-1381,Martin,TRUE
54,52,"Anderson, R.V.",1977,"Description of the male of Tylenchorhynchus maximus Allen, 1955 (Nematoda: Tylenchorhynchinae)",55,1921-1923,Martin,TRUE
55,52,"Anderson, R.V.",1978,"Helicotylenchus urobelus n. sp. (Nematoda: Hoplolaimidae) from New Brunswick, Canada",56,1232-1334,Martin,TRUE
56,52,"Anderson, R.V.",1979,"An emendation of the genus Teratorhabditis (Osche, 1952) Dougherty, 1953 and description of Teratorhabditis stiannula n. sp. (Rhabditidae: Nematoda)",57,13-17,Martin,TRUE
57,265,"Anderson, R.V.",1983,"Morphological Characteristics of Hoplolaimus indicus Sher, 1963 in Canada, a Parasite of Wild Rice",15,366-369,Martin,TRUE
58,265,"Anderson, R.V.",1985,"Emendation of the Genus Paurodontiella Husain & Khan, 1968 and Description of P. auriculata n. sp. from Western Canada (Nematoda: Paurodontidae)",17,201-205,Martin,TRUE
59,52,"Anderson, R.V., Ebsary, B.A.",1982,"Canadian species of Merlinius Siddiqi, 1970 and a diagnosis and description for Mulveyotus hyalacus n.gen., n.sp. (Nematoda: Tylenchorhynchidae)",60,521-529,Martin,TRUE
60,52,"Anderson, R.V., Kimpinski, J.",1977,Paratylenchus labiosus n. sp. (Nematoda: Paratylenchidae) from Canada,55,1992-1996,Martin,TRUE
61,52,"Anderson, R.V., Townshend, J.L.",1980,Variation of the first head annule in Canadian population s of Pratylenchus penetrans (Nematoda: Pratylenchidae) from three host plants,58,1336-1340,Martin,TRUE
62,52,"Anderson, R.V., Townshend, J.L.",1985,A new species of root-lesion nematode (Pratylenchidae: Nematoda) in Canada with a scanning electron microscope study of its head morphology,63,2378-2382,Martin,TRUE
63,52,"Anderson, R.V., Mulvey, R.H.",1980,"Description, relationships, and host symptoms of Ditylenchus dryadis n.sp. (Nematoda: Tylenchidae) from the Canadian High Arctic, a transitional species of gall-forming parasite attacking Dryas.......",58,363-368,Martin,TRUE
64,52,"Anderson, R.V., Handoo, Z.A., Townshend, J.L.",1984,"Cephalids in the taxonomy of Scutellonema Andr ssy, 1958 and the description of Scutellonema cephalidum n. sp. (Nematoda: Hoplolaimidae)",62,1091-1094,Martin,TRUE
65,53,"Anderson, T.R.",1980,,60,33-34,Ginns,TRUE
66,46,"Anderson, T.R.",1983,Organisms associated with soybean seed in Ontario,5,200,Martin,TRUE
67,46,"Anderson, T.R.",1984,Thielaviopsis root rot of soybean in Ontario and susceptibility of commercial cultivars to root inoculation,6(1),71-74,Martin,TRUE
68,53,"Anderson, T.R.",1985,Root rot and wilt of mung bean in Ontario,65,3-5,Martin,TRUE
69,46,"Anderson, T.R.",1985,Seed molds of soybean in Ontario and the influence of production area on the incidence of Diaporthe phaseolorum var. caulivora and Phomopsis sp.,7,74-78,Martin,TRUE
70,317,"Anderson, T.R.",1986,"Plant losses and Yield Responses to Monoculture of soybean cultivars susceptible, tolerant, and resistant to Phytophthora megasperma f.sp. glycinea",70,468-471,Martin,TRUE
71,317,"Anderson, T.R.",1986,"An Outbreak of Stewart's Bacterial Wilt of Corn in Ontario, Canada",70,603,Martin,TRUE
72,53,"Anderson, T.R.",1987,Fungi isolated from stems and roots of soybean in Ontario,67,3-5,Martin,TRUE
73,46,"Anderson, T.R.",1987,Pod necrosis: a new disease affecting soybean on droughty soils in southwestern Ontario,9,272,Martin,TRUE
